humidity,air_quality_PM10,air_quality_Carbon_Monoxide,temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,air_quality_us-epa-index,air_quality_Ozone,air_quality_gb-defra-index,attacked_mode,date,attacked_feature,attack_ratio
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.009606454,DRPA,2024/11/26,air_quality_us-epa-index,0.407
0.209208206,0,0.273950617,0.019649711,0,0,0.16002806,0,0,0.009215907,DRPA,2024/12/28,air_quality_us-epa-index,0.407
0.265560459,0,0,0.107582194,0,0.016640762,0,0.076217725,0,0.066148474,DRPA,2025/1/29,air_quality_us-epa-index,0.407
0.285163825,0.148728363,0.130067816,0.100166722,0.0860091,0.073990167,0.058534944,0,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.444
0.010436678,0,0,0.102449969,0,0,0.635503069,0,0.013503578,0.003396618,DRPA,2024/10/25,air_quality_us-epa-index,0.444
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.009865996,DRPA,2024/11/26,air_quality_us-epa-index,0.444
0.213416719,0,0.271565599,0.018280231,0,0,0.161585103,0,0,0.009192055,DRPA,2024/12/28,air_quality_us-epa-index,0.444
0.261148464,0,0,0.11006288,0,0.012607767,0,0.027950218,0,0.066136622,DRPA,2025/1/29,air_quality_us-epa-index,0.444
0.259835487,0.165615583,0.141789039,0.116764087,0.10300854,0.073768801,0.05377558,0.04837818,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.463
0.038678927,0,0,0.102820582,0,0,0.585370728,0,0.011876068,0.003428001,DRPA,2024/10/25,air_quality_us-epa-index,0.463
0,0.010280714,0.135835824,0.013300274,0,0.168369189,0.01373208,0,0.085049735,0.010698878,DRPA,2024/11/26,air_quality_us-epa-index,0.463
0.212136063,0,0.317444621,0.03745659,0,0.01979264,0.143214319,0.009440501,0,0.009209552,DRPA,2024/12/28,air_quality_us-epa-index,0.463
0.274761349,0,0,0.110742802,0,0.02009653,0,0.110679816,0,0.066186285,DRPA,2025/1/29,air_quality_us-epa-index,0.463
0.257449528,0.184071548,0.155943931,0.139807888,0.107890244,0.055915907,0.052407496,0.09747344,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.5
0.038522656,0,0,0.11517058,0,0,0.59100854,0,6.43E-05,0.003454755,DRPA,2024/10/25,air_quality_us-epa-index,0.5
0,0.010280714,0.135835824,0.013300274,0,0.168369189,0.01373208,0,0.085049735,0.009844362,DRPA,2024/11/26,air_quality_us-epa-index,0.5
0.228393126,0.006624833,0.294689929,0,0,0,0.149472209,0.020576597,0,0.009209115,DRPA,2024/12/28,air_quality_us-epa-index,0.5
0.268823706,0,0,0.103331095,0,0,0,0.056040054,0,0.066162998,DRPA,2025/1/29,air_quality_us-epa-index,0.5
0.264171387,0.150173085,0.12281538,0.105207165,0.093416893,0.074391571,0.071546517,0.024256592,0,0,ROPA,2024/9/23,air_quality_us-epa-index,0
0.030175544,0,0,0.133504408,0,0,0.656834656,0.091999823,0.002353724,0.00339523,ROPA,2024/10/25,air_quality_us-epa-index,0
0,0.006940141,0.135857512,0.016263816,0,0.16359047,0.031195838,0,0.085858357,0.010352982,ROPA,2024/11/26,air_quality_us-epa-index,0
0.231205025,0,0.26941948,0.005352335,0,0,0.134295872,0.014861053,0,0.009278455,ROPA,2024/12/28,air_quality_us-epa-index,0
